"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLatitude","decimalLongitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","type","elevation","elevationAccuracy","county","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.481095,-2.075307,"EUROPE","Andalucía",2025,1,1,"cdc,cdround","https://www.inaturalist.org/observations/257014862","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5007064216","257014862",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.374413,27.67523,"ASIA","Mugla",2025,1,2,"cdc,cdround","https://www.inaturalist.org/observations/257163302","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","5008094392","257163302",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.342125,-7.44885,"EUROPE","Évora",2025,1,3,"cdc,cdround","https://www.inaturalist.org/observations/257380796","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5007134600","257380796",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.007089,23.642744,"EUROPE","Attica",2025,1,4,"cdc,cdround","https://www.inaturalist.org/observations/257458723","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5007762636","257458723",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.006989,23.643473,"EUROPE","Attica",2025,1,4,"cdc,cdround","https://www.inaturalist.org/observations/257459138","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5037193768","257459138",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.606783,-4.334999,"EUROPE","Andalucía",2025,1,5,"cdc,cdround","https://www.inaturalist.org/observations/257487469","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5007775728","257487469",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.089831,-2.074318,"EUROPE","Andalucía",2025,1,5,"cdc,cdround","https://www.inaturalist.org/observations/257502035","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5007812721","257502035",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.658302,0.024862,"EUROPE","Comunidad Valenciana",2025,1,7,"cdc,cdround","https://www.inaturalist.org/observations/257699028","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5008108924","257699028",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.657475,0.024625,"EUROPE","Comunidad Valenciana",2025,1,7,"cdc,cdround","https://www.inaturalist.org/observations/257699066","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5007235406","257699066",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.564852,-1.511649,"EUROPE","Región de Murcia",2025,1,7,"cdc,cdround","https://www.inaturalist.org/observations/257712241","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5006731412","257712241",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.562609,-1.514925,"EUROPE","Región de Murcia",2025,1,7,"cdc,cdround","https://www.inaturalist.org/observations/257712510","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5007897775","257712510",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.564403,-1.511067,"EUROPE","Región de Murcia",2025,1,7,"cdc,cdround","https://www.inaturalist.org/observations/257713057","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5008109753","257713057",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.00875,23.641822,"EUROPE","Attica",2025,1,4,"cdc,cdround","https://www.inaturalist.org/observations/258018502","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5036900901","258018502",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",37.429839,-1.52404,"EUROPE","Región de Murcia",2025,1,10,"cdc,cdround","https://www.inaturalist.org/observations/258040479","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5036949269","258040479",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",34.263386,-118.498708,"NORTH_AMERICA","California",2025,1,2,"cdc,cdround","https://www.inaturalist.org/observations/258089746","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5036787199","258089746",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",32.254353,-110.958947,"NORTH_AMERICA","Arizona",2025,1,11,"cdc,cdround","https://www.inaturalist.org/observations/258177535","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5036821206","258177535",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",29.050265,-111.009511,"NORTH_AMERICA","Sonora",2025,1,14,"cdc,cdround","https://www.inaturalist.org/observations/258601136","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5063033577","258601136",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.14856,-7.296868,"EUROPE","Beja",2025,1,13,"cdc,cdround","https://www.inaturalist.org/observations/258731780","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5063074130","258731780",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Iris oratoria",38.538885,-121.772259,"NORTH_AMERICA","California",2025,1,17,"cdc,cdround","https://www.inaturalist.org/observations/258761582","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","5063109301","258761582",NA,NA,NA,NA,NA,NA
