"","sp","long","lat","continent","year"
"1","Iris oratoria",-118.498708,34.263386,"NORTH_AMERICA",2025
"2","Iris oratoria",-110.958947,32.254353,"NORTH_AMERICA",2025
"3","Iris oratoria",-111.009511,29.050265,"NORTH_AMERICA",2025
"4","Iris oratoria",-121.772259,38.538885,"NORTH_AMERICA",2025
"5","Iris oratoria",-117.720153,34.109772,"NORTH_AMERICA",2025
"6","Iris oratoria",-111.929599,33.324731,"NORTH_AMERICA",2025
"7","Iris oratoria",-110.951998,32.230389,"NORTH_AMERICA",2025
"8","Iris oratoria",-115.989088,33.639888,"NORTH_AMERICA",2025
"9","Iris oratoria",-117.276416,33.954431,"NORTH_AMERICA",2025
"10","Iris oratoria",-110.928991,32.282182,"NORTH_AMERICA",2025
"11","Iris oratoria",-121.349376,38.544468,"NORTH_AMERICA",2025
"12","Iris oratoria",-118.406835,34.227411,"NORTH_AMERICA",2025
"13","Iris oratoria",-116.656922,33.980617,"NORTH_AMERICA",2025
"14","Iris oratoria",-112.031443,33.706525,"NORTH_AMERICA",2024
"15","Iris oratoria",-118.191614,34.154261,"NORTH_AMERICA",2024
"16","Iris oratoria",-117.711386,34.145567,"NORTH_AMERICA",2024
"17","Iris oratoria",-113.574281,37.060628,"NORTH_AMERICA",2024
"18","Iris oratoria",-117.792308,33.657629,"NORTH_AMERICA",2024
"19","Iris oratoria",-117.792099,33.657114,"NORTH_AMERICA",2024
"20","Iris oratoria",-117.321587,33.976745,"NORTH_AMERICA",2024
"21","Iris oratoria",-116.375345,33.137744,"NORTH_AMERICA",2024
"22","Iris oratoria",-118.11631,34.666945,"NORTH_AMERICA",2024
"23","Iris oratoria",-122.147223,39.422256,"NORTH_AMERICA",2024
"24","Iris oratoria",-117.756376,34.120963,"NORTH_AMERICA",2024
"25","Iris oratoria",-117.679556,33.869651,"NORTH_AMERICA",2024
"26","Iris oratoria",-117.163361,34.063111,"NORTH_AMERICA",2024
"27","Iris oratoria",-116.419883,33.803537,"NORTH_AMERICA",2024
"28","Iris oratoria",-115.521439,33.120975,"NORTH_AMERICA",2024
"29","Iris oratoria",-117.241632,33.56506,"NORTH_AMERICA",2024
"30","Iris oratoria",-117.112641,33.597527,"NORTH_AMERICA",2024
"31","Iris oratoria",-116.953707,33.920605,"NORTH_AMERICA",2024
"32","Iris oratoria",-115.582202,33.214711,"NORTH_AMERICA",2024
"33","Iris oratoria",-115.431855,33.236295,"NORTH_AMERICA",2024
"34","Iris oratoria",-116.650488,33.972047,"NORTH_AMERICA",2024
"35","Iris oratoria",-118.448974,35.132188,"NORTH_AMERICA",2024
"36","Iris oratoria",-119.122592,35.365331,"NORTH_AMERICA",2024
"37","Iris oratoria",-115.554287,32.773398,"NORTH_AMERICA",2024
"38","Iris oratoria",-118.044035,34.033682,"NORTH_AMERICA",2024
"39","Iris oratoria",-117.328833,33.973872,"NORTH_AMERICA",2024
"40","Iris oratoria",-111.929613,33.32474,"NORTH_AMERICA",2024
"41","Iris oratoria",-120.850865,37.522274,"NORTH_AMERICA",2024
"42","Iris oratoria",-116.35019,34.157158,"NORTH_AMERICA",2024
"43","Iris oratoria",-112.777347,33.654131,"NORTH_AMERICA",2024
"44","Iris oratoria",-118.01327,34.100624,"NORTH_AMERICA",2024
"45","Iris oratoria",-115.999828,32.730172,"NORTH_AMERICA",2024
"46","Iris oratoria",-116.005997,33.612988,"NORTH_AMERICA",2024
"47","Iris oratoria",-105.493955,28.263198,"NORTH_AMERICA",2024
"48","Iris oratoria",-117.376208,33.981569,"NORTH_AMERICA",2024
"49","Iris oratoria",-111.916045,33.300818,"NORTH_AMERICA",2024
"50","Iris oratoria",-116.317544,34.123726,"NORTH_AMERICA",2024
"51","Iris oratoria",-116.329947,33.825978,"NORTH_AMERICA",2024
"52","Iris oratoria",-105.493947,28.263203,"NORTH_AMERICA",2024
"53","Iris oratoria",-105.493955,28.263194,"NORTH_AMERICA",2024
"54","Iris oratoria",-105.493954,28.263208,"NORTH_AMERICA",2024
"55","Iris oratoria",-121.429405,38.275798,"NORTH_AMERICA",2024
"56","Iris oratoria",-105.493956,28.263194,"NORTH_AMERICA",2024
"57","Iris oratoria",-117.062418,32.821458,"NORTH_AMERICA",2024
"58","Iris oratoria",-117.328064,33.973706,"NORTH_AMERICA",2024
