"","sp","long","lat","continent","year"
"1","Mantis religiosa",-2.705213,36.826745,"EUROPE",2025
"2","Mantis religiosa",-2.70516,36.826982,"EUROPE",2025
"3","Mantis religiosa",15.596353,43.821294,"EUROPE",2025
"4","Mantis religiosa",-3.635131,43.237161,"EUROPE",2025
"5","Mantis religiosa",-3.862855,43.448581,"EUROPE",2025
"6","Mantis religiosa",8.163284,49.961282,"EUROPE",2025
"7","Mantis religiosa",-4.768877,37.876325,"EUROPE",2025
"8","Mantis religiosa",-4.768887,37.876296,"EUROPE",2025
"9","Mantis religiosa",-2.074302,37.089862,"EUROPE",2025
"10","Mantis religiosa",-2.139998,37.104965,"EUROPE",2025
"11","Mantis religiosa",5.735991,43.239535,"EUROPE",2025
"12","Mantis religiosa",22.154045,50.646572,"EUROPE",2025
"13","Mantis religiosa",-2.615607,36.814498,"EUROPE",2025
"14","Mantis religiosa",-4.753051,37.577737,"EUROPE",2025
"15","Mantis religiosa",-1.51162,37.56475,"EUROPE",2025
"16","Mantis religiosa",-1.511659,37.564839,"EUROPE",2025
"17","Mantis religiosa",-1.520845,37.55609,"EUROPE",2025
"18","Mantis religiosa",-0.504963,39.85312,"EUROPE",2025
"19","Mantis religiosa",-0.443014,39.912499,"EUROPE",2025
"20","Mantis religiosa",5.326893,43.469945,"EUROPE",2025
"21","Mantis religiosa",5.326808,43.469906,"EUROPE",2025
"22","Mantis religiosa",-8.516597,38.039977,"EUROPE",2025
"23","Mantis religiosa",-2.800243,36.75672,"EUROPE",2025
"24","Mantis religiosa",3.219847,43.349433,"EUROPE",2025
"25","Mantis religiosa",-1.536751,37.427006,"EUROPE",2025
"26","Mantis religiosa",-1.530356,37.430404,"EUROPE",2025
"27","Mantis religiosa",-7.456218,38.341996,"EUROPE",2025
"28","Mantis religiosa",18.81835,46.621386,"EUROPE",2025
"29","Mantis religiosa",-9.364131,38.720205,"EUROPE",2025
"30","Mantis religiosa",4.53372,45.467405,"EUROPE",2025
"31","Mantis religiosa",8.727712,49.819851,"EUROPE",2025
"32","Mantis religiosa",0.729069,49.485614,"EUROPE",2025
"33","Mantis religiosa",0.739694,49.491644,"EUROPE",2025
"34","Mantis religiosa",0.749173,49.485514,"EUROPE",2025
"35","Mantis religiosa",5.738816,43.231068,"EUROPE",2025
"36","Mantis religiosa",-8.525621,38.375328,"EUROPE",2025
"37","Mantis religiosa",16.43834,48.214178,"EUROPE",2025
"38","Mantis religiosa",5.993647,44.186609,"EUROPE",2025
"39","Mantis religiosa",-7.481063,38.375473,"EUROPE",2025
"40","Mantis religiosa",-7.53138,43.003117,"EUROPE",2025
"41","Mantis religiosa",-9.183848,38.448118,"EUROPE",2025
"42","Mantis religiosa",-4.169344,40.659792,"EUROPE",2025
"43","Mantis religiosa",49.12265,55.788414,"EUROPE",2025
"44","Mantis religiosa",16.254566,48.032616,"EUROPE",2025
"45","Mantis religiosa",16.248599,48.033363,"EUROPE",2025
"46","Mantis religiosa",7.963523,43.940445,"EUROPE",2025
"47","Mantis religiosa",10.314682,42.781028,"EUROPE",2025
"48","Mantis religiosa",15.688145,47.019995,"EUROPE",2025
"49","Mantis religiosa",-5.344756,36.176075,"EUROPE",2025
"50","Mantis religiosa",16.15596,49.225848,"EUROPE",2025
"51","Mantis religiosa",16.154532,49.223291,"EUROPE",2025
"52","Mantis religiosa",-0.495008,44.870591,"EUROPE",2025
"53","Mantis religiosa",13.752339,52.796408,"EUROPE",2025
"54","Mantis religiosa",7.923509,44.993369,"EUROPE",2025
"55","Mantis religiosa",5.724357,43.22899,"EUROPE",2025
"56","Mantis religiosa",22.622417,37.474016,"EUROPE",2025
"57","Mantis religiosa",8.140897,49.267066,"EUROPE",2025
"58","Mantis religiosa",-0.512862,39.665317,"EUROPE",2025
"59","Mantis religiosa",-6.019933,38.218224,"EUROPE",2025
"60","Mantis religiosa",-8.575264,37.330696,"EUROPE",2025
"61","Mantis religiosa",0.91546,41.259008,"EUROPE",2025
"62","Mantis religiosa",-1.371446,42.60831,"EUROPE",2025
"63","Mantis religiosa",-6.483948,37.128922,"EUROPE",2025
"64","Mantis religiosa",-4.072519,43.119361,"EUROPE",2025
"65","Mantis religiosa",8.076368,49.04168,"EUROPE",2025
"66","Mantis religiosa",7.994289,49.715636,"EUROPE",2025
"67","Mantis religiosa",8.855925,50.030392,"EUROPE",2025
"68","Mantis religiosa",8.307242,49.967784,"EUROPE",2025
"69","Mantis religiosa",12.197086,45.564839,"EUROPE",2025
"70","Mantis religiosa",16.679034,48.739108,"EUROPE",2025
"71","Mantis religiosa",12.928908,52.039372,"EUROPE",2025
"72","Mantis religiosa",3.972368,43.960974,"EUROPE",2025
"73","Mantis religiosa",-8.585809,39.236336,"EUROPE",2025
"74","Mantis religiosa",-3.632945,37.676497,"EUROPE",2025
"75","Mantis religiosa",-8.415962,41.54018,"EUROPE",2025
"76","Mantis religiosa",-8.727399,42.181073,"EUROPE",2025
"77","Mantis religiosa",22.31852,48.6421,"EUROPE",2025
"78","Mantis religiosa",3.824878,43.656521,"EUROPE",2025
"79","Mantis religiosa",13.102393,52.313835,"EUROPE",2025
"80","Mantis religiosa",-9.486604,38.765356,"EUROPE",2025
"81","Mantis religiosa",-9.486632,38.765339,"EUROPE",2025
"82","Mantis religiosa",-9.486635,38.765612,"EUROPE",2025
"83","Mantis religiosa",-9.486747,38.765298,"EUROPE",2025
"84","Mantis religiosa",4.563353,50.088258,"EUROPE",2025
"85","Mantis religiosa",1.916032,41.291443,"EUROPE",2025
"86","Mantis religiosa",18.675227,50.921633,"EUROPE",2025
"87","Mantis religiosa",-3.117695,36.77883,"EUROPE",2025
"88","Mantis religiosa",0.675201,41.004162,"EUROPE",2025
"89","Mantis religiosa",-0.656999,39.983711,"EUROPE",2025
"90","Mantis religiosa",12.873887,46.084369,"EUROPE",2025
"91","Mantis religiosa",28.733011,44.495362,"EUROPE",2025
"92","Mantis religiosa",8.84551,45.414322,"EUROPE",2025
"93","Mantis religiosa",3.074825,46.023228,"EUROPE",2025
"94","Mantis religiosa",10.460317,44.114074,"EUROPE",2025
"95","Mantis religiosa",3.86099,43.71849,"EUROPE",2025
"96","Mantis religiosa",3.862159,43.718339,"EUROPE",2025
"97","Mantis religiosa",8.794656,45.431867,"EUROPE",2025
"98","Mantis religiosa",18.676218,50.921841,"EUROPE",2025
"99","Mantis religiosa",3.869777,43.651271,"EUROPE",2025
"100","Mantis religiosa",-3.527316,40.317318,"EUROPE",2025
"101","Mantis religiosa",16.640738,43.575538,"EUROPE",2025
"102","Mantis religiosa",6.871958,43.590708,"EUROPE",2025
"103","Mantis religiosa",9.941745,45.321597,"EUROPE",2025
"104","Mantis religiosa",-0.569456,45.483153,"EUROPE",2025
"105","Mantis religiosa",-0.894356,42.785412,"EUROPE",2025
"106","Mantis religiosa",7.493358,45.170087,"EUROPE",2025
"107","Mantis religiosa",12.293181,41.884764,"EUROPE",2025
"108","Mantis religiosa",12.293174,41.884759,"EUROPE",2025
"109","Mantis religiosa",-3.404656,40.228117,"EUROPE",2025
"110","Mantis religiosa",3.076286,45.975453,"EUROPE",2025
"111","Mantis religiosa",-0.385697,39.625912,"EUROPE",2025
"112","Mantis religiosa",5.358715,43.228362,"EUROPE",2025
"113","Mantis religiosa",3.677505,43.492928,"EUROPE",2025
"114","Mantis religiosa",8.107135,48.609822,"EUROPE",2025
"115","Mantis religiosa",3.673498,43.49152,"EUROPE",2025
"116","Mantis religiosa",10.460146,44.115275,"EUROPE",2025
"117","Mantis religiosa",7.974434,49.930214,"EUROPE",2025
"118","Mantis religiosa",-2.613681,39.37032,"EUROPE",2025
"119","Mantis religiosa",-3.235449,40.469904,"EUROPE",2025
"120","Mantis religiosa",-1.630408,42.660471,"EUROPE",2025
"121","Mantis religiosa",13.1744,51.772831,"EUROPE",2025
"122","Mantis religiosa",-0.894303,42.785369,"EUROPE",2025
"123","Mantis religiosa",1.844171,42.113641,"EUROPE",2025
"124","Mantis religiosa",6.668482,49.738427,"EUROPE",2025
"125","Mantis religiosa",-5.752028,37.813961,"EUROPE",2025
"126","Mantis religiosa",8.139331,49.357007,"EUROPE",2025
"127","Mantis religiosa",-0.705953,37.99988,"EUROPE",2024
"128","Mantis religiosa",-0.694897,37.980563,"EUROPE",2024
"129","Mantis religiosa",-0.694952,37.980588,"EUROPE",2024
"130","Mantis religiosa",-0.694464,37.980343,"EUROPE",2024
"131","Mantis religiosa",11.266438,42.804208,"EUROPE",2024
"132","Mantis religiosa",7.177481,50.203853,"EUROPE",2024
"133","Mantis religiosa",5.379551,43.408024,"EUROPE",2024
"134","Mantis religiosa",-0.883237,37.980378,"EUROPE",2024
"135","Mantis religiosa",-0.75609,37.909814,"EUROPE",2024
"136","Mantis religiosa",22.315883,48.640358,"EUROPE",2024
"137","Mantis religiosa",7.719714,45.328915,"EUROPE",2024
"138","Mantis religiosa",17.83693,48.778966,"EUROPE",2024
"139","Mantis religiosa",28.73038,44.595102,"EUROPE",2024
"140","Mantis religiosa",-1.067986,37.943009,"EUROPE",2024
"141","Mantis religiosa",-1.068299,37.942478,"EUROPE",2024
"142","Mantis religiosa",-1.064315,37.944476,"EUROPE",2024
"143","Mantis religiosa",13.103958,41.578267,"EUROPE",2024
"144","Mantis religiosa",4.078359,43.64615,"EUROPE",2024
"145","Mantis religiosa",10.053131,45.585005,"EUROPE",2024
"146","Mantis religiosa",5.732547,43.31831,"EUROPE",2024
"147","Mantis religiosa",1.22292,43.68705,"EUROPE",2024
"148","Mantis religiosa",-0.710874,38.511285,"EUROPE",2024
"149","Mantis religiosa",1.236898,45.093259,"EUROPE",2024
"150","Mantis religiosa",-1.040761,37.593234,"EUROPE",2024
"151","Mantis religiosa",2.347795,41.637005,"EUROPE",2024
"152","Mantis religiosa",-0.672242,38.017756,"EUROPE",2024
"153","Mantis religiosa",-4.753714,37.884383,"EUROPE",2024
"154","Mantis religiosa",2.708219,41.743801,"EUROPE",2024
"155","Mantis religiosa",5.1475,44.9475,"EUROPE",2024
"156","Mantis religiosa",7.71859,49.734286,"EUROPE",2024
"157","Mantis religiosa",20.375218,50.80548,"EUROPE",2024
"158","Mantis religiosa",16.93567,50.011647,"EUROPE",2024
"159","Mantis religiosa",16.9362,50.011551,"EUROPE",2024
"160","Mantis religiosa",3.680015,43.671084,"EUROPE",2024
"161","Mantis religiosa",20.703982,50.858545,"EUROPE",2024
"162","Mantis religiosa",6.027094,45.499121,"EUROPE",2024
"163","Mantis religiosa",-8.507839,41.410004,"EUROPE",2024
"164","Mantis religiosa",4.243928,47.71344,"EUROPE",2024
"165","Mantis religiosa",-8.579292,37.318083,"EUROPE",2024
"166","Mantis religiosa",-0.307095,38.583725,"EUROPE",2024
"167","Mantis religiosa",-1.666515,42.842381,"EUROPE",2024
"168","Mantis religiosa",-1.73356,42.918515,"EUROPE",2024
"169","Mantis religiosa",1.212419,46.705597,"EUROPE",2024
"170","Mantis religiosa",6.393004,49.825593,"EUROPE",2024
"171","Mantis religiosa",2.59418,48.88327,"EUROPE",2024
"172","Mantis religiosa",8.187,49.445,"EUROPE",2024
"173","Mantis religiosa",-0.515246,38.236256,"EUROPE",2024
"174","Mantis religiosa",8.187279,49.444946,"EUROPE",2024
"175","Mantis religiosa",-0.370055,39.699609,"EUROPE",2024
"176","Mantis religiosa",4.747966,50.115985,"EUROPE",2024
"177","Mantis religiosa",16.246951,48.128243,"EUROPE",2024
"178","Mantis religiosa",2.263655,43.026295,"EUROPE",2024
"179","Mantis religiosa",-4.689408,37.944695,"EUROPE",2024
"180","Mantis religiosa",3.740672,43.81705,"EUROPE",2024
"181","Mantis religiosa",20.314657,50.983767,"EUROPE",2024
"182","Mantis religiosa",16.235289,48.206431,"EUROPE",2024
"183","Mantis religiosa",0.03202,43.377717,"EUROPE",2024
"184","Mantis religiosa",25.310938,42.131761,"EUROPE",2024
"185","Mantis religiosa",16.292297,48.061733,"EUROPE",2024
"186","Mantis religiosa",12.080271,42.262116,"EUROPE",2024
"187","Mantis religiosa",3.822855,43.996078,"EUROPE",2024
