"","sp","long","lat","continent","year"
"1","Iris oratoria",-2.084523,37.389578,"EUROPE",2021
"2","Iris oratoria",-7.457485,38.34488,"EUROPE",2023
"3","Iris oratoria",23.641822,38.00875,"EUROPE",2025
"4","Iris oratoria",-4.300914,37.614135,"EUROPE",2024
"5","Iris oratoria",-2.074318,37.089831,"EUROPE",2025
"6","Iris oratoria",0.106879,38.722459,"EUROPE",2023
"7","Iris oratoria",-1.514925,37.562609,"EUROPE",2025
"8","Iris oratoria",-1.505945,37.435809,"EUROPE",2017
"9","Iris oratoria",-7.296868,38.14856,"EUROPE",2025
"10","Iris oratoria",-4.783309,37.873471,"EUROPE",2025
"11","Iris oratoria",-0.454807,39.047887,"EUROPE",2025
"12","Iris oratoria",-1.02,38.51,"EUROPE",2025
"13","Iris oratoria",-6.019933,38.218224,"EUROPE",2025
"14","Iris oratoria",-2.343349,39.471539,"EUROPE",2022
"15","Iris oratoria",-3.630047,37.679113,"EUROPE",2025
"16","Iris oratoria",-0.905513,38.754758,"EUROPE",2025
"17","Iris oratoria",-6.600882,37.693889,"EUROPE",2024
"18","Iris oratoria",-0.253148,39.874007,"EUROPE",2024
"19","Iris oratoria",-0.445962,38.785534,"EUROPE",2025
"20","Iris oratoria",-6.08025,37.791562,"EUROPE",2025
"21","Iris oratoria",9.442305,42.525262,"EUROPE",2024
"22","Iris oratoria",-2.483382,39.40115,"EUROPE",2014
"23","Iris oratoria",-5.646146,36.859194,"EUROPE",2019
"24","Iris oratoria",-9.181816,38.898886,"EUROPE",2024
"25","Iris oratoria",-5.605227,36.533405,"EUROPE",2024
"26","Iris oratoria",-0.717094,38.297431,"EUROPE",2022
"27","Iris oratoria",-1.060412,37.978307,"EUROPE",2020
"28","Iris oratoria",24.489567,35.360206,"EUROPE",2023
"29","Iris oratoria",-3.96629,39.832286,"EUROPE",2024
"30","Iris oratoria",-0.796286,38.085525,"EUROPE",2023
"31","Iris oratoria",-7.878017,39.106219,"EUROPE",2024
"32","Iris oratoria",-0.854234,38.370607,"EUROPE",2022
"33","Iris oratoria",-3.618894,37.128489,"EUROPE",2023
"34","Iris oratoria",-0.987033,37.937079,"EUROPE",2024
"35","Iris oratoria",-1.334985,37.929764,"EUROPE",2012
"36","Iris oratoria",5.833888,43.155003,"EUROPE",2024
"37","Iris oratoria",-0.879991,38.28102,"EUROPE",2024
"38","Iris oratoria",-0.473325,39.927883,"EUROPE",2024
"39","Iris oratoria",-8.037188,37.750346,"EUROPE",2024
"40","Iris oratoria",5.470106,43.354957,"EUROPE",2020
"41","Iris oratoria",2.797417,43.111776,"EUROPE",2024
"42","Iris oratoria",2.093149,41.330476,"EUROPE",2011
"43","Iris oratoria",-7.8048,38.94899,"EUROPE",2020
"44","Iris oratoria",-0.942802,39.496055,"EUROPE",2024
"45","Iris oratoria",-0.975346,39.589488,"EUROPE",2024
"46","Iris oratoria",-4.323108,37.625793,"EUROPE",2024
"47","Iris oratoria",-5.932032,36.350725,"EUROPE",2024
"48","Iris oratoria",-2.043992,37.768047,"EUROPE",2024
"49","Iris oratoria",-6.049012,39.829814,"EUROPE",2024
"50","Iris oratoria",-8.607555,37.144382,"EUROPE",2022
"51","Iris oratoria",-0.36347,39.668157,"EUROPE",2024
"52","Iris oratoria",34.033749,35.456928,"EUROPE",2024
"53","Iris oratoria",-0.017694,38.751111,"EUROPE",2024
"54","Iris oratoria",-0.063689,38.638419,"EUROPE",2022
"55","Iris oratoria",33.542641,35.286674,"EUROPE",2024
"56","Iris oratoria",-5.418966,36.697999,"EUROPE",2022
"57","Iris oratoria",-0.414158,39.660613,"EUROPE",2021
"58","Iris oratoria",26.118153,40.941363,"EUROPE",2024
"59","Iris oratoria",-3.497629,40.367787,"EUROPE",2024
"60","Iris oratoria",-0.274708,39.080265,"EUROPE",2024
"61","Iris oratoria",2.698292,41.635373,"EUROPE",2020
"62","Iris oratoria",-0.816672,39.491152,"EUROPE",2024
"63","Iris oratoria",9.608686,40.832506,"EUROPE",2019
"64","Iris oratoria",-0.353473,39.938331,"EUROPE",2023
"65","Iris oratoria",6.426539,43.34507,"EUROPE",2024
"66","Iris oratoria",3.206183,41.977131,"EUROPE",2021
"67","Iris oratoria",-6.712001,39.895031,"EUROPE",2024
"68","Iris oratoria",5.95,51.4,"EUROPE",2024
"69","Iris oratoria",-4.883479,36.584553,"EUROPE",2024
"70","Iris oratoria",-7.88427,37.692948,"EUROPE",2024
"71","Iris oratoria",-0.815675,39.369215,"EUROPE",2024
"72","Iris oratoria",-0.539832,38.66511,"EUROPE",2023
"73","Iris oratoria",0.577034,40.734595,"EUROPE",2024
"74","Iris oratoria",-7.692666,37.141034,"EUROPE",2022
