"","sp","long","lat","continent","year"
"1","Mantis religiosa",-3.55825,43.076751,"EUROPE",2024
"2","Mantis religiosa",8.162994,49.932882,"EUROPE",2024
"3","Mantis religiosa",-4.753714,37.884383,"EUROPE",2024
"4","Mantis religiosa",-2.139998,37.104965,"EUROPE",2025
"5","Mantis religiosa",22.154045,50.646572,"EUROPE",2025
"6","Mantis religiosa",-4.92032,37.717416,"EUROPE",2024
"7","Mantis religiosa",-1.626711,37.538886,"EUROPE",2010
"8","Mantis religiosa",-0.516492,39.88864,"EUROPE",2023
"9","Mantis religiosa",-0.293323,39.839363,"EUROPE",2024
"10","Mantis religiosa",-8.566253,38.108423,"EUROPE",2022
"11","Mantis religiosa",-2.799347,36.756863,"EUROPE",2024
"12","Mantis religiosa",3.11238,43.28113,"EUROPE",2015
"13","Mantis religiosa",-7.449941,38.344556,"EUROPE",2023
"14","Mantis religiosa",18.81835,46.621386,"EUROPE",2025
"15","Mantis religiosa",4.525705,45.461255,"EUROPE",2024
"16","Mantis religiosa",8.671084,49.879275,"EUROPE",2022
"17","Mantis religiosa",0.749173,49.485514,"EUROPE",2025
"18","Mantis religiosa",-8.525621,38.375328,"EUROPE",2025
"19","Mantis religiosa",16.283443,48.143476,"EUROPE",2022
"20","Mantis religiosa",5.942243,44.194146,"EUROPE",2019
"21","Mantis religiosa",-7.532705,43.206059,"EUROPE",2021
"22","Mantis religiosa",-4.165881,40.595586,"EUROPE",2010
"23","Mantis religiosa",49.081651,55.864981,"EUROPE",2024
"24","Mantis religiosa",16.248967,48.124858,"EUROPE",2022
"25","Mantis religiosa",15.626525,47.225798,"EUROPE",2023
"26","Mantis religiosa",16.18338,49.108253,"EUROPE",2024
"27","Mantis religiosa",-0.48965,44.80492,"EUROPE",2022
"28","Mantis religiosa",13.844367,52.839955,"EUROPE",2022
"29","Mantis religiosa",7.924361,44.992628,"EUROPE",2023
"30","Mantis religiosa",22.622417,37.474016,"EUROPE",2025
"31","Mantis religiosa",8.127509,49.28598,"EUROPE",2020
"32","Mantis religiosa",-0.50185,39.530624,"EUROPE",2014
"33","Mantis religiosa",-6.019933,38.218224,"EUROPE",2025
"34","Mantis religiosa",-8.540692,37.290322,"EUROPE",2024
"35","Mantis religiosa",0.855718,41.325138,"EUROPE",2020
"36","Mantis religiosa",-1.331462,42.61779,"EUROPE",2018
"37","Mantis religiosa",-6.282606,37.225216,"EUROPE",2022
"38","Mantis religiosa",-4.084033,43.124594,"EUROPE",2020
"39","Mantis religiosa",8.06698,49.193955,"EUROPE",2024
"40","Mantis religiosa",7.990664,49.673073,"EUROPE",2020
"41","Mantis religiosa",8.853831,50.103205,"EUROPE",2024
"42","Mantis religiosa",8.316054,49.92506,"EUROPE",2024
"43","Mantis religiosa",12.05348,45.612012,"EUROPE",2019
